Genomes	arCOG Taxonomy	Public/Private	Completeness	Contamination	MAG Size (Mb)	Predicted MAG Size
D4993_C5_H4_Bin_33	Odinarchaeia	Private	62.51	0.07	0.849842	1.168
D4993_C5_H4_Bin_46	Lokiarchaeales	Private	69.42	6.54	2.504316	3.27
D4993_C5_H4_Bin_5	Helarchaeales	Private	59.98	3.1	2.491976	3.489
D4993_C5_LG_Bin_111	Heimdallarchaeaceae	Private	66.24	7.01	1.545521	2.067
D4993_C5_LG_Bin_146_clean	Thorarchaeia	Private	50.65	8.88	1.66778	2.491
D4993_C5_LG_Bin_231_clean	Asgardarchaeia	Private	73.29	9.62	1.160318	1.47
D4993_C5_LG_Bin_247	Lokiarchaeales	Private	67.16	5.14	2.316368	3.077
D4993_C5_LG_Bin_279	Lokiarchaeales	Private	91.67	2.8	3.747704	4.06
D4993_C5_LG_Bin_292	Thorarchaeia	Private	88.71	4.21	1.757622	1.956
D4993_C5_LG_Bin_298	Helarchaeales	Private	90.19	2.34	3.420992	3.757
D4993_C5_LG_Bin_330	Lokiarchaeales	Private	82.71	3.27	3.284319	3.852
D4993_C5_LG_Bin_346	Gerdarchaeales	Private	92.52	5.14	3.397444	3.652
D4993_C5_LG_Bin_37	Gerdarchaeales	Private	91.12	6.07	2.826729	3.078
D4993_C5_LG_Bin_387_clean	Thorarchaeia	Private	75.16	0.93	2.133365	2.663
D4993_C5_LG_Bin_413_clean	Heimdallarchaeaceae	Private	90.65	2.77	2.917425	3.19
D4993_C5_LG_Bin_429	Odinarchaeia	Private	69.91	0.93	1.082889	1.409
D4993_C5_LG_Bin_447	Lokiarchaeales	Private	74.14	9.19	3.758844	4.731
D4993_C5_LG_Bin_498	Lokiarchaeales	Private	88.32	3.56	4.641904	5.184
D4993_C5_LG_Bin_529	Lokiarchaeales	Private	84.11	7.48	3.60987	4.183
D4993_C5_LG_Bin_530	Thorarchaeia	Private	93.93	4.67	2.681755	2.845
D4993_C5_LG_Bin_604	Helarchaeales	Private	72.68	4.05	3.274407	4.169
D4993_C5_LG_Bin_609	Lokiarchaeales	Private	84.11	1.94	4.307486	4.992
D4993_C5_LG_Bin_705_clean	Lokiarchaeales	Private	78.04	6.85	3.826119	4.666
D4993_C5_LG_Bin_732	Ranarchaeia	Private	72.11	1.87	1.542489	1.973
D4993_C5_LG_Bin_739_clean	Heimdallarchaeaceae	Private	93.46	4.67	3.143092	3.349
D4994_C39_H1_Bin_122	Lokiarchaeales	Private	63.48	3.27	2.795914	3.817
D4994_C39_H1_Bin_188	Lokiarchaeales	Private	74.27	3.74	3.857766	4.85
D4994_C39_H1_Bin_225	Thorarchaeia	Private	92.21	7.48	2.444612	2.635
D4994_C39_H1_Bin_261	Lokiarchaeales	Private	87.93	4.67	3.720237	4.169
D4994_C39_H1_Bin_316	Heimdallarchaeaceae	Private	92.06	7.01	3.072803	3.317
D4994_C39_H1_Bin_319	Lokiarchaeales	Private	92.52	3.74	4.882866	5.248
D4994_C39_H1_Bin_33	Lokiarchaeales	Private	92.52	6.25	6.344116	6.819
D4994_C39_H1_Bin_335	Lokiarchaeales	Private	93.46	7.94	4.085066	4.352
D4994_C39_H1_Bin_37	Lokiarchaeales	Private	74.54	1.87	3.52805	4.426
D4994_C39_H1_Bin_371	Lokiarchaeales	Private	79.13	1.4	3.136695	3.791
D4994_C39_H1_Bin_436	Heimdallarchaeaceae	Private	66.75	5.14	0.758389	1.011
D4994_C39_H1_Bin_629	Thorarchaeia	Private	68.33	3.81	2.145258	2.825
D4994_C39_H1_Bin_674	Helarchaeales	Private	92.68	3.27	3.989757	4.282
D4994_C39_H1_Bin_696_clean	Gerdarchaeales	Private	88.32	6.07	2.678545	2.991
D4994_C39_H1_Bin_733	Lokiarchaeales	Private	79.91	2.34	4.445903	5.339
D4994_C39_H1_Bin_797	Lokiarchaeales	Private	56.69	3.74	2.170376	3.11
D4994_C39_H1_Bin_803	Njordarchaeales	Private	68.69	2.34	1.435547	1.885
D4994_C39_H2_Bin_166	Thorarchaeia	Private	75.97	2.34	2.018151	2.503
D4994_C39_H2_Bin_21	Helarchaeales	Private	74.84	6.07	3.693915	4.623
D4994_C39_H2_Bin_222	Baldrarchaeia	Private	70.56	3.74	1.569843	2.032
JZ_bin_50	Freyarchaeia	Public	98.13	2.8	2.3179	2.361
D4994_C39_H2_Bin_6_clean	Gerdarchaeales	Private	51.09	9.15	1.602247	2.386
D4998_C1112_H1_Bin_177	Lokiarchaeales	Private	83.8	7.76	3.854883	4.479
D4998_C1112_H1_Bin_241	Gerdarchaeales	Private	88.79	7.87	3.691674	4.106
D4998_C1112_H1_Bin_245	Lokiarchaeales	Private	76.17	0.47	2.481823	3.073
D4998_C1112_H1_Bin_25	Thorarchaeia	Private	63.48	3.02	1.145807	1.564
QC4_bin_49	Freyarchaeia	Public	79.12	0	1.822916	2.204
D4998_C1112_H1_Bin_369_clean	Thorarchaeia	Private	78.52	2.34	2.10077	2.552
D4998_C1112_H1_Bin_443	Lokiarchaeales	Private	85.51	3.74	4.203044	4.812
D4998_C1112_H1_Bin_477	Gerdarchaeales	Private	92.06	6.07	2.797666	3.02
D4998_C1112_H1_Bin_488	Heimdallarchaeaceae	Private	59.74	0	0.631379	0.886
D4998_C1112_H2_Bin_131_clean	Lokiarchaeales	Private	65.42	7.94	2.69369	3.625
D4998_C1112_H2_Bin_190_clean	Lokiarchaeales	Private	78.86	0.93	2.352202	2.849
D4998_C1112_H2_Bin_232	Baldrarchaeia	Private	92.06	3.27	2.090165	2.256
D4998_C1112_H2_Bin_233	Thorarchaeia	Private	85.51	3.74	2.552194	2.922
D4998_C1112_H2_Bin_270	Heimdallarchaeaceae	Private	60.66	7.01	2.064356	2.876
D4998_C1112_H2_Bin_413	Lokiarchaeales	Private	77.65	2.8	3.92333	4.8
D4998_C1112_H2_Bin_434	Njordarchaeales	Private	69.63	0.93	1.482639	1.933
D4998_C1112_H2_Bin_445	Lokiarchaeales	Private	84.58	2.8	3.226823	3.724
D4998_C1112_H2_Bin_450	Lokiarchaeales	Private	66.4	1.4	2.796182	3.736
D4998_C1112_H2_Bin_516	Njordarchaeales	Private	89.72	2.41	1.991323	2.196
D4998_C1112_H2_Bin_52	Asgardarchaeia	Private	85.98	0.78	1.18055	1.346
D4998_C1112_H2_Bin_592_clean	Baldrarchaeia	Private	74.45	1.87	0.985873	1.238
D4998_C1112_H2_Bin_601	Gerdarchaeales	Private	89.72	7.01	2.810756	3.1
D4998_C1112_H2_Bin_606_clean	Thorarchaeia	Private	91.74	4.67	3.527534	3.819
D4998_C1112_H2_Bin_646	Heimdallarchaeaceae	Private	93.46	6.07	3.209705	3.42
